Type,Units,Time,Velocity,Barometric Pressure,Temperature,Humidity,Dynamic Pressure,Model Pressure,Speed,Frequency,Power,Torque,Current,PGB Axial,PGB Normal,PGB Moment,Pitch Angle,Y Position,Z Position,PTA Temp,PTA 1,PTA 2,PTA 3,PTA 4,PTA 5,PTA 6,PTA 7,PTA 8,PTA 9,PTA 10,PTA 11,PTA 12,PTA 13,PTA 14,PTA 15,PTA 16,PTA 17,PTA 18,PTA 19,PTA 20,PTA 21,PTA 22,PTA 23,PTA 24,PTA 25,PTA 26,PTA 27,PTA 28,PTA 29,PTA 30,PTA 31,PTA 32,PTA 33,PTA 34,PTA 35,PTA 36,PTA 37,PTA 38,PTA 39,PTA 40,PTA 41,PTA 42,PTA 43,PTA 44,PTA 45,PTA 46,PTA 47,PTA 48,PTA 49,PTA 50,PTA 51,PTA 52,PTA 53,PTA 54,PTA 55,PTA 56,PTA 57,PTA 58,PTA 59,PTA 60,PTA 61,PTA 62,PTA 63,PTA 64
Type,USC / SI,Time,MPH / m/s,PSI / Pascals,F / C,% / %,In.H20 / Pascals,In.H20 / Pascals,RPM / RPM,Hertz / Hertz,Horsepower / kW,% / %,Amps / Amperes,lbf / N,lbf / N,in.lb / Nm,Deg / Deg,Inches / Millimeters,Inches / Millimeters,°F / °C,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA
Mult,SI,251114 12:33:20.544146,    8.644290,101083.263609,   24.364861,   50.691871,   43.971623,    0.000000,  300.000000,   20.300000,    0.700000,   10.400000,    8.300000,    0.165990,   -0.170440,    0.030704,    0.125185,    0.000000,    0.000000,   44.351562,   -1.993155,   -1.014660,    0.344384,   -1.937675,    0.396987,   -0.097808,   -1.481921,   -1.634387,   -4.010145,   -1.553017,   -0.810413,   -0.780413,   -3.382199,    0.304932,   -1.001098,   -0.963290,    1.039317,    1.471236,   -1.025345,    1.248496,   -0.495617,    0.112603,   -2.014114,   -1.456852,    0.606166,   -1.833291,    1.487674,    0.434384,   -1.118632,   -0.704796,   -0.569179,   -1.036851,   -2.096716,   -0.139572,   -0.085891,   -1.987812,   -1.582606,   -1.200413,    0.412604,   -0.262603,    1.507811,   -2.035894,   -1.746579,   -0.553563,  -11.261735,  -57.391199,  -13.732836,  -10.995022,  -12.222764,  -12.028894,  -12.995368,  -12.713244,  -10.755638,  -11.731359,  -11.431050,  -11.328516,  -10.496425,  -12.757012,   -9.597451,  -13.867014,  -11.439064,  -11.848380,  -11.997969,  -11.474817
Mult,SI,251114 12:33:20.554146,    8.646018,101083.263609,   24.456986,   51.193443,   43.971623,    0.000000,  300.000000,   20.300000,    0.700000,   10.400000,    8.300000,    0.103895,   -0.186864,    0.024131,    0.499223,    0.000000,    0.000000,   44.351562,   -1.227126,   -1.861648,   -1.819730,   -0.703563,   -0.923016,   -0.595481,   -2.393840,   -0.334110,   -2.049867,   -1.345893,    1.298633,   -2.432471,   -1.260003,   -0.293425,   -0.690823,    0.295891,   -0.678084,   -2.942061,   -1.914661,    0.963290,   -0.369042,   -1.295345,   -1.151509,    0.596714,    2.138634,   -0.898769,    0.973153,   -2.262539,   -1.165071,   -2.212607,   -0.396576,    0.208357,   -0.880789,   -0.185330,   -0.866098,    0.081370,   -1.722332,    1.107947,    0.383836,   -2.430005,   -1.185208,    0.315617,    0.746097,   -0.687125,  -11.071666,  -57.872594,  -12.777971,  -11.700023,  -11.634578,  -14.035199,  -12.650573,  -10.912419,  -12.975231,  -13.157184,  -13.721740,  -11.219611,  -11.684510,  -12.377285,  -11.548585,  -12.922628,  -12.618929,  -11.726736,  -12.333723,  -12.421258
Mult,SI,251114 12:33:20.564146,    8.645899,101083.263609,   24.452356,   51.102705,   43.971623,    0.000000,  300.000000,   20.300000,    0.700000,   10.400000,    8.300000,    0.066591,   -0.296134,    0.043784,   -0.330528,    0.000000,    0.000000,   44.351562,   -1.263290,   -0.523974,   -2.672882,   -2.282881,   -2.009593,    0.580686,   -2.410279,   -1.580962,   -1.180276,   -1.881785,   -0.381371,    0.604111,   -1.031098,    1.364386,   -1.335208,   -0.447946,   -0.902057,   -0.408083,    0.656303,    0.793563,   -0.566302,   -1.069317,   -0.270001,    0.039863,   -3.048910,   -1.141646,    0.774659,   -1.234934,    0.809180,    0.505069,   -1.290003,   -1.260003,   -1.913839,   -0.844805,   -1.213564,    0.143425,   -0.388357,    1.188085,   -0.965755,   -0.341508,   -2.574663,   -0.076439,   -0.548631,   -2.059730,  -11.859887,  -55.938720,  -12.887697,  -11.329543,  -10.683463,  -12.239408,  -11.882489,  -12.144707,  -12.969478,  -11.977113,  -10.848926,  -12.563861,  -11.592865,  -13.136738,  -14.360987,  -12.034544,  -11.581256,  -13.502904,  -12.036188,  -10.118650
Mult,SI,251114 12:33:20.574146,    8.645683,101083.263609,   24.441312,   51.024136,   43.971623,    0.000000,  300.000000,   20.300000,    0.700000,   10.400000,    8.300000,    0.022959,   -0.277558,    0.023095,    0.107087,    0.000000,    0.000000,   44.351562,   -0.588494,    1.260003,   -2.803978,   -2.534800,    0.075617,   -0.931646,    0.050548,   -3.963296,   -1.156441,   -1.836579,    0.516987,    0.164795,   -1.635620,    0.593837,   -1.414112,   -2.292333,   -1.085345,   -1.580140,   -2.828636,    0.012740,   -1.957812,   -2.670416,   -1.024934,    0.476713,    1.031920,   -1.600688,   -2.734115,   -0.365960,   -2.680279,   -1.509866,   -0.195206,   -0.780002,   -0.576885,    1.367764,   -2.122196,   -0.295891,    1.275619,   -0.533426,   -2.644937,   -0.850687,   -0.957947,    1.787264,   -2.151580,   -1.739182,  -10.567213,  -55.296859,  -12.141189,  -12.026120,   -9.524043,  -12.550813,  -10.335637,   -9.811740,  -11.236461,  -10.874200,   -9.836321,  -10.336870,  -11.784475,  -10.610569,  -12.225846,  -12.051394,  -11.835229,  -13.316328,  -12.770573,  -12.143449
Mult,SI,251114 12:33:20.584146,    8.647351,101083.263609,   24.545869,   50.993581,   43.971623,    0.000000,  300.000000,   20.300000,    0.700000,   10.400000,    8.300000,    0.194808,   -0.177092,    0.033897,   -0.272055,    0.000000,    0.000000,   44.351562,   -1.009317,   -0.694933,   -1.329044,   -2.492060,   -0.422467,   -2.769869,   -2.252470,   -1.023290,   -1.048769,   -0.438905,   -1.398907,   -0.971098,   -1.569044,   -0.441782,   -0.307809,   -0.635755,   -3.196445,   -2.440690,   -0.401508,    0.876988,   -0.816988,    0.278631,   -1.258770,   -1.331099,   -0.648905,   -0.133562,    1.514798,   -0.048082,   -0.695755,   -2.771923,   -1.656168,   -1.792195,    0.028356,   -1.490808,   -0.353014,   -1.265756,   -2.608361,    0.227261,   -0.648494,    0.407261,    3.490692,    3.182883,   -4.479050,    1.011783,   -8.772963,  -54.771196,   -9.932485,  -10.876254,  -12.158038,  -11.883003,  -11.341666,  -10.705167,  -12.030435,  -11.088515,  -12.403792,  -12.514956,  -10.957214,   -7.555494,  -10.302657,  -13.178245,  -12.996190,  -13.657013,  -13.679822,  -13.440438
Mult,SI,251114 12:33:20.594146,    8.648345,101083.263609,   24.607572,   50.992787,   43.971623,    0.000000,  300.000000,   20.300000,    0.700000,   10.400000,    8.300000,    0.061600,   -0.271621,    0.031866,   -0.057657,    0.000000,    0.000000,   44.351562,   -2.157539,    0.749591,    0.369453,   -0.695344,    0.476713,    0.319316,   -0.415069,   -1.875620,   -3.583569,   -2.597676,    2.167813,   -2.337128,   -0.626303,    0.066575,   -0.952194,   -3.097814,   -1.308907,    0.669864,   -0.602056,    0.090822,   -1.267400,   -0.764385,   -0.713426,   -2.401649,    0.553974,   -0.059589,   -2.342059,   -1.952881,   -1.206578,    0.073973,   -1.541099,    0.989591,    0.192535,    1.133594,   -0.302261,    0.332055,   -2.239320,    0.270001,   -2.050689,   -2.364662,   -0.872878,    0.856851,   -1.475756,   -0.199315,  -10.338514,  -55.305155,  -10.822624,  -11.252077,  -10.841015,  -11.145022,  -11.316598,   -8.027713,  -12.246600,  -12.328586,  -12.309682,  -12.059202,   -8.239640,  -12.174682,  -11.333961,  -11.099200,  -10.363171,   -9.008237,  -10.501665,  -14.615782
Mult,SI,251114 12:33:20.604146,    8.648828,101083.263609,   24.636142,   51.036834,   43.971623,    0.000000,  300.000000,   20.300000,    0.700000,   10.400000,    8.300000,    0.124660,   -0.278778,    0.023933,    0.203149,    0.000000,    0.000000,   44.351562,    0.522741,    0.614796,   -0.327946,    0.425343,   -2.441923,   -1.799182,    0.167261,   -1.315071,   -2.162470,   -0.996166,   -0.760275,   -1.921648,   -2.114799,   -0.486987,   -1.058221,   -1.218496,    0.060411,   -0.022192,   -1.502469,    0.281918,   -1.812332,    0.058356,   -1.065619,   -0.457398,    1.965620,   -1.078769,    0.260138,   -1.086783,   -0.581508,   -2.270141,   -1.888360,    0.176713,    0.571748,   -1.784194,   -1.363359,   -1.667264,   -0.464795,   -1.056577,   -1.918360,    0.317261,    0.064521,    0.164384,   -1.053495,   -0.062877,   -8.910634,  -55.852951,  -10.061527,  -11.315776,  -10.039027,  -11.338687,   -9.691252,   -6.694611,  -10.704679,  -11.199988,   -9.782074,   -8.196181,   -8.756011,   -9.983444,   -7.833200,  -10.986597,   -9.958787,  -11.856599,   -9.802622,  -11.979065
Mult,SI,251114 12:33:20.614146,    8.646533,101083.263609,   24.495806,   50.970698,   43.971623,    0.000000,  300.000000,   20.300000,    0.700000,   10.400000,    8.300000,    0.107136,   -0.271395,    0.044822,   -0.146757,    0.000000,    0.000000,   44.351562,    0.495617,   -1.603565,    0.347261,   -0.230959,   -2.989321,   -2.405347,    0.262603,   -1.757675,   -1.218085,   -0.407261,   -0.479179,   -1.529592,   -1.113701,   -1.175345,    0.470138,   -2.381101,   -0.958769,   -0.745892,   -1.063153,   -0.740960,   -2.760827,    0.523974,   -0.455343,   -0.580275,   -0.343973,   -1.611784,   -0.292603,   -0.242672,   -0.685070,   -2.285758,    0.193973,   -1.320003,   -0.305138,   -0.037295,   -2.341443,    0.755344,   -1.427263,   -0.402741,    0.801371,    0.477946,    1.578907,   -2.450553,    0.275548,   -0.899591,  -11.360981,  -54.455804,  -11.174406,   -9.112621,   -7.950940,   -9.402553,   -8.637551,   -9.509274,   -8.880429,   -9.462759,   -8.735154,   -6.510835,   -7.268131,   -8.436181,   -8.635908,   -7.072206,   -9.283991,   -8.997552,   -7.516042,   -9.902896
Mult,SI,251114 12:33:20.624146,    8.643345,101083.263609,   24.302563,   50.809460,   43.971623,    0.000000,  300.000000,   20.300000,    0.700000,   10.400000,    8.300000,   -0.027267,   -0.338249,    0.017293,    0.268582,    0.000000,    0.000000,   44.351562,   -2.255347,    0.317672,   -0.662467,    0.988769,   -1.448222,   -0.673152,   -1.944661,   -1.766305,   -1.073427,   -2.053977,    0.821919,   -1.564113,    0.076439,   -0.886851,   -2.039593,   -2.053566,    0.149589,   -0.952605,   -0.564248,    1.189317,   -0.344384,    0.286850,    0.256439,   -1.453975,   -0.552741,    0.710960,    1.607674,   -0.207124,   -1.225071,   -1.334797,   -0.846166,   -1.361921,   -0.652193,    0.436439,   -1.173495,    1.339729,   -1.957401,   -0.621371,    1.435071,   -1.458085,    2.124251,   -2.013292,    0.429658,   -1.254249,  -12.061051,  -54.422600,  -11.888859,   -8.935703,   -9.602844,   -7.963064,  -10.296596,   -9.727725,  -11.907969,  -11.162796,  -10.789131,   -8.989744,   -7.770529,  -10.135089,   -6.439533,   -8.893168,   -9.101114,   -7.571522,   -7.507823,   -9.223580
