Type,Units,Time,Velocity,Barometric Pressure,Temperature,Humidity,Dynamic Pressure,Model Pressure,Speed,Frequency,Power,Torque,Current,PGB Axial,PGB Normal,PGB Moment,Pitch Angle,Y Position,Z Position,PTA Temp,PTA 1,PTA 2,PTA 3,PTA 4,PTA 5,PTA 6,PTA 7,PTA 8,PTA 9,PTA 10,PTA 11,PTA 12,PTA 13,PTA 14,PTA 15,PTA 16,PTA 17,PTA 18,PTA 19,PTA 20,PTA 21,PTA 22,PTA 23,PTA 24,PTA 25,PTA 26,PTA 27,PTA 28,PTA 29,PTA 30,PTA 31,PTA 32,PTA 33,PTA 34,PTA 35,PTA 36,PTA 37,PTA 38,PTA 39,PTA 40,PTA 41,PTA 42,PTA 43,PTA 44,PTA 45,PTA 46,PTA 47,PTA 48,PTA 49,PTA 50,PTA 51,PTA 52,PTA 53,PTA 54,PTA 55,PTA 56,PTA 57,PTA 58,PTA 59,PTA 60,PTA 61,PTA 62,PTA 63,PTA 64
Type,USC / SI,Time,MPH / m/s,PSI / Pascals,F / C,% / %,In.H20 / Pascals,In.H20 / Pascals,RPM / RPM,Hertz / Hertz,Horsepower / kW,% / %,Amps / Amperes,lbf / N,lbf / N,in.lb / Nm,Deg / Deg,Inches / Millimeters,Inches / Millimeters,°F / °C,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA
Mult,SI,251114 12:40:06.911366,    5.668952,101071.599065,   24.299257,   50.515553,   18.914011,    0.000000,  200.000000,   13.500000,    0.200000,    5.100000,    6.400000,    0.054234,   -0.144955,    0.017817,   -0.176386,    0.000000,    0.000000,   44.429687,   -2.818362,   -2.072059,   -2.390553,   -0.856851,   -2.690964,    0.247809,   -1.696031,   -0.978084,   -0.549864,    0.581097,   -1.290003,   -2.398772,   -1.895346,   -0.373151,   -2.695485,   -0.990824,   -1.728086,   -0.158630,   -1.811510,   -1.166715,   -2.906307,    2.125895,   -1.517263,   -0.138904,   -1.779456,   -1.645072,   -1.830004,   -0.123493,   -0.166439,   -1.011372,   -1.437126,   -2.141922,   -0.635344,    1.516698,   -0.487193,   -1.339729,   -0.778358,   -1.573976,    1.034797,    0.007397,   -0.579453,   -1.001509,   -1.923702,    2.466580,   -6.720219,  -27.245320,   -8.639606,   -8.306523,   -7.986334,   -9.404505,   -6.812479,   -7.801608,   -9.537142,   -7.302549,   -9.702554,   -8.491661,   -6.977788,   -4.906037,   -7.795906,   -9.649334,   -8.317003,   -7.884673,   -7.115768,   -7.722755
Mult,SI,251114 12:40:06.921366,    5.669090,101071.599065,   24.310037,   50.591344,   18.914011,    0.000000,  200.000000,   13.500000,    0.200000,    5.100000,    6.400000,    0.015443,   -0.150094,    0.003155,   -0.146685,    0.000000,    0.000000,   44.429687,   -3.517815,    0.404384,   -0.491097,   -1.522195,   -0.528494,   -0.708906,    0.588083,   -1.620003,   -3.438911,   -2.026031,   -1.020002,    0.050548,   -1.938086,   -1.130550,   -2.809732,   -0.746303,   -0.743837,    0.087945,   -1.792606,   -0.019726,   -3.013157,    2.275484,   -2.487128,   -0.398220,    1.692332,   -1.243153,    0.560549,    1.285482,   -1.352468,   -0.595481,    0.031644,   -0.494796,   -0.678392,    0.647159,   -0.137055,    0.064110,    1.434660,   -0.604933,   -0.790687,   -0.883152,   -0.997399,    3.426993,   -0.061028,    1.042605,   -7.216247,  -26.927136,   -7.389056,   -7.333371,   -4.803246,   -7.041589,   -9.732759,   -8.672714,  -12.135230,   -7.771248,   -6.888096,   -7.384946,   -8.390976,   -6.647684,   -8.345051,  -10.295363,   -8.920703,   -7.933577,   -5.442751,   -8.413167
Mult,SI,251114 12:40:06.931366,    5.669899,101071.599065,   24.383180,   50.709727,   18.914011,    0.000000,  200.000000,   13.500000,    0.200000,    5.100000,    6.400000,    0.004106,   -0.125376,    0.009519,   -0.254813,    0.000000,    0.000000,   44.429687,   -2.968773,   -1.132605,   -1.355756,   -1.779867,   -0.806303,   -1.167948,   -2.480142,   -1.003153,   -1.362742,    0.684659,   -0.169315,   -0.116302,   -0.692056,   -2.105347,   -1.281372,   -1.850141,   -2.143566,    0.176713,   -2.243018,   -0.555618,   -2.815896,   -0.102329,   -1.463428,   -1.220550,    0.261370,   -0.193562,    0.867947,    0.720823,   -2.198635,   -0.182877,   -1.350825,   -2.404114,   -2.254936,   -0.828110,   -1.430756,   -0.870824,   -1.437537,   -0.941509,   -0.793152,   -0.303288,    3.153705,   -1.396852,   -0.363288,   -0.477535,   -6.813918,  -25.967045,   -5.715628,   -7.181316,   -7.910358,   -8.315667,   -7.661522,   -6.252675,   -7.115357,   -8.211283,   -7.369946,   -5.995080,   -7.821796,   -8.057276,   -8.665702,   -7.488097,   -7.650426,   -8.905908,   -7.819947,  -11.438653
Mult,SI,251114 12:40:06.941366,    5.668172,101071.599065,   24.221285,   50.646898,   18.914011,    0.000000,  200.000000,   13.500000,    0.200000,    5.100000,    6.400000,    0.079069,   -0.066318,    0.013748,    0.060288,    0.000000,    0.000000,   44.429687,   -1.670140,   -0.066575,   -1.450688,   -2.640005,   -0.743015,   -1.576441,   -2.118086,   -0.796029,   -1.847675,   -1.121509,   -0.871646,   -0.860550,   -0.151233,   -0.301644,   -1.172468,   -0.510001,   -3.221924,    0.460686,   -2.799047,   -2.631786,   -1.874798,    0.862193,   -2.487128,   -0.865481,    0.511234,   -0.803015,   -1.565757,   -1.261235,   -2.175210,   -1.826716,   -1.024112,    0.309864,    0.451645,   -0.502360,   -0.310891,   -0.652604,   -0.406439,    0.991235,   -1.252605,   -0.611097,    1.272742,   -3.473843,    0.181439,    0.345206,   -5.289463,  -23.421562,   -5.979464,   -7.919605,   -6.615732,   -6.741383,   -7.473713,   -7.930470,   -7.875221,   -6.731007,   -9.208991,   -9.692485,   -9.404300,   -6.644808,   -7.282925,   -9.755773,   -8.395907,   -7.096041,   -7.514398,   -9.049744
Mult,SI,251114 12:40:06.951366,    5.670350,101071.599065,   24.420149,   50.898346,   18.914011,    0.000000,  200.000000,   13.500000,    0.200000,    5.100000,    6.400000,    0.015540,   -0.130255,   -0.001484,    0.016202,    0.000000,    0.000000,   44.429687,   -1.848497,   -1.404660,   -1.461784,   -1.691921,   -0.726577,   -0.842467,   -2.695074,    0.894248,   -0.812878,    1.525482,    0.180411,   -2.753430,   -1.096851,    0.331644,   -1.145345,   -1.833702,   -0.883974,   -1.510277,   -1.060276,    1.369729,   -2.031785,    0.578631,   -0.812878,   -1.354523,    0.503015,   -2.634252,    1.004386,   -1.919182,   -2.009182,   -0.522330,   -3.167267,   -1.373427,   -0.352809,    0.967515,   -1.222400,   -1.256304,   -0.949728,    1.719866,    0.044384,   -1.022057,    1.954935,    2.258224,   -1.601305,   -1.666031,   -7.894536,  -24.810512,   -9.579471,   -7.424604,   -5.872717,   -7.563611,   -8.648236,   -8.378621,   -7.667276,   -8.025530,   -8.287414,   -8.330975,   -5.957991,   -8.062619,   -6.976349,   -9.590156,   -6.002889,   -7.814399,   -8.008372,   -8.256592
Mult,SI,251114 12:40:06.961366,    5.670024,101071.599065,   24.392307,   50.800201,   18.914011,    0.000000,  200.000000,   13.500000,    0.200000,    5.100000,    6.400000,    0.133915,   -0.106563,    0.023851,   -0.028812,    0.000000,    0.000000,   44.429687,   -0.844933,   -2.260278,   -0.513700,   -2.328909,   -0.429042,    0.484111,    0.893015,   -0.106439,   -0.922194,    2.424251,   -0.087123,    0.159041,   -4.135077,   -1.564935,   -1.809045,   -1.294112,   -2.464114,   -0.931235,   -2.345758,   -2.472745,   -0.296713,   -1.502058,   -1.342194,   -0.122466,   -0.428220,   -0.158219,   -1.669318,    1.148427,   -0.145891,   -3.078910,   -1.753154,   -2.107812,    0.642638,    1.866669,    0.640686,   -3.016033,    0.289727,   -0.434384,   -1.043838,    0.639042,   -0.264247,   -0.867125,    0.081781,    1.519318,   -7.345905,  -25.278105,   -7.776591,   -9.509197,   -5.402682,   -6.174464,   -9.875773,   -8.244160,   -9.309471,   -9.505807,   -9.417347,   -8.310838,   -8.565839,   -6.259328,   -7.522720,   -8.876319,   -8.595634,   -8.692620,   -9.476731,   -8.936319
Mult,SI,251114 12:40:06.971366,    5.669954,101071.599065,   24.390521,   50.639491,   18.914011,    0.000000,  200.000000,   13.500000,    0.200000,    5.100000,    6.400000,    0.009119,   -0.156710,    0.005069,    0.036157,    0.000000,    0.000000,   44.429687,   -3.372335,    0.267124,   -2.705759,   -1.069317,   -1.521373,    0.597946,   -0.081781,   -2.469046,   -1.563291,    1.273564,   -0.717947,   -1.246852,   -1.482743,   -2.928910,    0.200548,   -0.700686,   -0.611508,    0.366987,   -0.734385,   -0.579864,   -2.925211,    1.728086,   -0.380138,   -1.496304,   -1.727264,   -1.729729,    1.546030,   -0.364727,    0.747125,   -2.268498,   -1.149454,   -1.323701,    1.086578,    0.464089,    0.368014,   -0.725344,   -0.256028,   -1.595346,   -1.395619,    0.835070,   -2.386854,    2.751375,    1.853017,   -1.847675,   -6.940699,  -26.323966,  -10.172897,   -9.904540,   -7.206744,   -8.528955,   -9.076867,   -7.924870,   -8.430017,   -9.414368,  -10.087828,   -8.743579,   -7.658029,   -5.674121,   -6.271040,   -9.963718,   -8.775634,   -8.146866,   -6.720013,   -6.902890
Mult,SI,251114 12:40:06.981366,    5.668533,101071.599065,   24.256997,   50.598355,   18.914011,    0.000000,  200.000000,   13.500000,    0.200000,    5.100000,    6.400000,    0.058140,   -0.071830,    0.010328,    0.300211,    0.000000,    0.000000,   44.429687,   -1.680825,   -0.282740,   -1.358633,   -1.499592,   -1.590414,    1.043016,   -0.316028,   -1.578085,   -1.356989,   -1.938497,   -1.382879,   -2.679457,   -1.016714,   -1.710414,   -2.290279,   -2.134525,   -2.709868,   -0.874522,   -0.623426,   -1.928634,   -1.322468,    1.455619,    1.721510,   -0.368220,   -1.721921,   -0.316439,   -1.587537,   -1.417400,   -0.402741,   -0.456987,   -1.523017,   -0.733563,    1.137742,    0.622925,   -1.658017,   -2.126717,   -0.116302,   -1.000276,   -1.772880,   -0.442193,    0.119178,   -0.816577,    3.727199,    0.759043,   -6.328780,  -23.797852,   -7.400152,   -5.823916,   -7.468474,   -7.630906,   -7.938920,   -9.476603,   -9.078922,   -7.522618,  -10.341801,  -10.755638,   -8.138338,   -7.511522,   -7.146384,  -10.891255,   -9.773033,   -9.548649,   -8.805223,   -8.782620
Mult,SI,251114 12:40:06.991366,    5.668408,101071.599065,   24.247739,   50.512908,   18.914011,    0.000000,  200.000000,   13.500000,    0.200000,    5.100000,    6.400000,    0.036944,   -0.137115,    0.022301,    0.160063,    0.000000,    0.000000,   44.429687,   -3.171787,   -1.166304,   -0.898358,    0.314795,   -0.577809,   -1.818497,   -2.338361,   -0.997810,   -1.163838,   -3.532610,    1.423564,    0.378905,   -2.074114,   -0.441782,   -1.205345,   -1.753154,   -0.657536,   -1.140413,   -2.017812,    0.998221,   -2.716444,   -0.407261,   -2.307128,   -0.409316,    0.609864,   -2.229867,   -0.218220,    0.712604,   -0.978906,   -1.931511,   -2.963431,   -1.627811,    0.072329,    1.688980,   -1.503085,   -2.856992,   -0.670275,   -0.623837,   -1.616716,    0.712604,   -0.537124,    0.433563,   -0.146507,   -1.640551,   -6.631862,  -25.488385,   -6.800972,   -8.099194,   -7.837156,   -7.325049,   -8.420976,   -6.628010,   -8.728784,   -7.748337,   -8.461455,   -8.242208,   -7.052788,   -7.778646,   -6.580493,   -7.912208,   -8.016180,   -9.780841,   -6.157820,   -9.513307
