Type,Units,Time,Velocity,Barometric Pressure,Temperature,Humidity,Dynamic Pressure,Model Pressure,Speed,Frequency,Power,Torque,Current,PGB Axial,PGB Normal,PGB Moment,Pitch Angle,Y Position,Z Position,PTA Temp,PTA 1,PTA 2,PTA 3,PTA 4,PTA 5,PTA 6,PTA 7,PTA 8,PTA 9,PTA 10,PTA 11,PTA 12,PTA 13,PTA 14,PTA 15,PTA 16,PTA 17,PTA 18,PTA 19,PTA 20,PTA 21,PTA 22,PTA 23,PTA 24,PTA 25,PTA 26,PTA 27,PTA 28,PTA 29,PTA 30,PTA 31,PTA 32,PTA 33,PTA 34,PTA 35,PTA 36,PTA 37,PTA 38,PTA 39,PTA 40,PTA 41,PTA 42,PTA 43,PTA 44,PTA 45,PTA 46,PTA 47,PTA 48,PTA 49,PTA 50,PTA 51,PTA 52,PTA 53,PTA 54,PTA 55,PTA 56,PTA 57,PTA 58,PTA 59,PTA 60,PTA 61,PTA 62,PTA 63,PTA 64
Type,USC / SI,Time,MPH / m/s,PSI / Pascals,F / C,% / %,In.H20 / Pascals,In.H20 / Pascals,RPM / RPM,Hertz / Hertz,Horsepower / kW,% / %,Amps / Amperes,lbf / N,lbf / N,in.lb / Nm,Deg / Deg,Inches / Millimeters,Inches / Millimeters,°F / °C,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA,PSI / PA
Mult,SI,251114 12:52:20.388726,   11.551374,101041.913847,   24.120894,   51.134714,   78.555270,    0.000000,  400.000000,   27.000000,    1.500000,   17.200000,   10.500000,    0.120222,    0.033830,    0.010031,   -0.029666,    0.000000,    0.000000,   44.484375,   -0.948495,   -0.227261,   -2.937540,   -0.527672,   -0.607398,   -0.386713,   -1.053701,   -2.036305,   -1.166304,   -2.410690,    0.031644,   -1.192194,   -1.509044,   -0.205891,   -0.923016,   -2.810964,   -0.701097,   -1.165071,   -1.253427,   -0.633700,   -3.032883,    0.588905,   -1.501236,   -2.968773,   -2.807677,   -3.687131,    1.306441,    1.926990,   -2.416854,   -1.461373,   -0.624248,   -1.184797,   -0.679933,   -1.166252,   -0.128836,   -0.726577,   -0.758221,   -1.266578,   -0.422467,   -0.597124,   -1.770004,    0.332466,   -0.933290,   -3.044390,  -18.536955, -100.263769,  -22.241346,  -19.592505,  -18.505413,  -18.751065,  -20.603877,  -20.119612,  -19.603601,  -19.599902,  -16.152361,  -18.606612,  -20.588979,  -18.648941,  -18.320995,  -20.658123,  -18.045241,  -19.475792,  -21.705865,  -19.069353
Mult,SI,251114 12:52:20.398726,   11.553530,101041.913847,   24.222409,   51.091991,   78.555270,    0.000000,  400.000000,   27.000000,    1.500000,   17.200000,   10.500000,    0.316585,    0.073445,    0.003809,    0.291468,    0.000000,    0.000000,   44.484375,   -3.124938,    0.740549,   -3.930830,    0.075206,   -0.873700,    0.200137,   -1.516441,   -0.365343,   -1.933976,   -2.434525,   -1.804935,   -1.011783,   -0.499727,    0.914796,   -0.452467,    0.266302,   -1.353701,    0.259316,   -0.401508,    0.131096,   -0.953427,   -1.628222,    0.191918,   -0.212466,   -2.538498,   -0.885618,   -2.121374,   -0.556645,    0.367809,    1.565757,   -0.961235,   -0.532193,    0.261781,    0.104474,   -1.649798,   -1.394797,   -1.509866,   -1.728086,   -2.825759,   -0.600001,   -0.161918,   -2.190415,   -0.356919,    0.217809,  -18.140584, -101.110475,  -19.653327,  -22.368538,  -20.973843,  -20.384424,  -19.922505,  -18.321252,  -20.770315,  -21.717577,  -22.955183,  -22.155660,  -21.316481,  -22.102647,  -20.940555,  -21.020590,  -20.239355,  -21.641550,  -21.165042,  -19.908122
Mult,SI,251114 12:52:20.408726,   11.553175,101041.913847,   24.199858,   51.294101,   78.555270,    0.000000,  400.000000,   27.000000,    1.500000,   17.200000,   10.500000,    0.158480,    0.104010,    0.021543,   -0.031986,    0.000000,    0.000000,   44.484375,   -1.642195,   -1.315893,   -0.700686,   -1.427674,   -1.685757,    0.628357,   -2.246306,    0.192329,   -2.244662,   -2.853704,   -0.429453,   -2.614115,   -0.616851,   -0.611097,   -1.605620,   -1.554250,   -3.468089,   -1.511099,   -1.117399,   -0.883974,   -2.405758,   -2.110278,   -0.375206,   -3.160280,    0.941920,    1.896579,   -0.789865,   -0.797878,   -0.397809,   -1.479455,   -1.489318,    0.498494,   -1.045892,   -0.293977,    2.787540,   -1.963566,    2.493704,   -2.102059,   -1.837812,   -0.126165,   -1.017125,   -0.343151,   -0.853358,    0.041918,  -19.021271, -100.504495,  -20.010040,  -23.048676,  -18.896647,  -21.007542,  -22.442510,  -21.273690,  -21.225659,  -24.429706,  -20.195794,  -20.954425,  -20.080930,  -20.315383,  -21.071857,  -22.102647,  -19.116202,  -20.787165,  -21.033946,  -20.520452
Mult,SI,251114 12:52:20.418726,   11.554327,101041.913847,   24.260106,   51.071489,   78.555270,    0.000000,  400.000000,   27.000000,    1.500000,   17.200000,   10.500000,    0.202526,    0.076040,   -0.005658,   -0.042195,    0.000000,    0.000000,   44.484375,   -2.102470,   -1.711236,   -1.280961,   -3.462747,   -1.160550,   -0.503837,   -0.906577,   -1.301920,    0.558083,    1.963155,   -0.606988,   -2.881650,   -1.490140,    2.538498,   -2.826581,   -2.284525,    0.078493,   -0.196850,   -0.333699,   -1.398496,   -2.081100,   -5.673299,   -0.821508,   -1.791373,    0.458220,   -2.998362,    0.574111,   -0.279864,    0.017260,   -3.079321,    0.034521,   -2.577539,    2.050997,   -0.057059,   -2.128360,   -1.688633,   -2.385621,   -0.316028,   -0.126576,   -0.060822,    1.218907,    0.876577,   -0.140137,   -3.793569,  -16.343663, -103.014175,  -22.326414,  -20.541000,  -20.683911,  -21.198330,  -22.114564,  -19.335270,  -20.417712,  -22.366380,  -18.503667,  -21.123741,  -21.188672,  -20.208533,  -20.345691,  -20.205657,  -21.616070,  -20.565246,  -20.845521,  -22.734292
Mult,SI,251114 12:52:20.428726,   11.554532,101041.913847,   24.257923,   51.457192,   78.555270,    0.000000,  400.000000,   27.000000,    1.500000,   17.200000,   10.500000,    0.280571,    0.067147,    0.022430,    0.082638,    0.000000,    0.000000,   44.484375,   -0.711782,   -2.631375,   -2.628087,   -2.299731,   -1.616716,    0.547809,   -0.530960,   -0.284384,    0.413425,   -1.965209,    0.132329,    0.198083,   -2.616581,    0.485343,   -2.198635,   -2.832334,   -0.016027,   -1.149043,   -1.963977,   -0.534248,   -3.764391,   -1.380414,   -0.606577,   -0.043151,   -0.308220,   -0.918495,    1.453565,   -2.149525,   -0.470549,   -0.943564,   -1.102605,    0.477535,   -0.973255,   -0.598190,   -0.928153,   -0.923426,   -0.410138,   -2.286169,   -1.929867,    0.415891,    0.915207,   -2.888225,   -1.791990,   -2.584937,  -16.943664, -101.583631,  -19.225107,  -19.902163,  -19.710039,  -20.252609,  -17.971680,  -18.394069,  -18.727024,  -19.688464,  -19.316956,  -20.289492,  -18.240036,  -19.921272,  -21.060658,  -19.488943,  -18.706476,  -21.408947,  -18.939284,  -21.391275
Mult,SI,251114 12:52:20.438726,   11.554585,101041.913847,   24.267909,   51.209712,   78.555270,    0.000000,  400.000000,   27.000000,    1.500000,   17.200000,   10.500000,    0.140455,   -0.007659,    0.007374,   -0.074216,    0.000000,    0.000000,   44.484375,   -1.073427,   -0.145891,   -0.090000,   -2.276717,   -0.997810,   -0.055891,   -2.374114,   -1.511921,   -3.731514,   -2.646581,    1.338496,    0.168904,   -1.724798,   -2.272196,   -1.183975,   -0.002055,    0.075617,   -0.167261,   -0.935755,    1.159728,   -0.670686,   -0.421645,   -0.542056,   -2.233977,   -0.209178,   -0.620549,   -0.874522,    0.257466,   -1.664387,   -1.625757,   -1.238222,   -1.024934,    1.781921,    0.109855,    0.635755,   -0.343973,   -0.774248,   -1.130139,   -0.105206,   -0.172603,    2.267676,    0.324247,   -1.172879,   -0.826440,  -17.235240, -100.670517,  -18.901270,  -19.111476,  -18.525088,  -20.710007,  -18.305379,  -21.060787,  -19.433052,  -19.894252,  -16.175169,  -19.475381,  -17.387706,  -17.954008,  -18.348941,  -18.446338,  -19.017983,  -18.910312,  -17.830515,  -19.347162
Mult,SI,251114 12:52:20.448726,   11.553338,101041.913847,   24.212225,   51.133789,   78.555270,    0.000000,  400.000000,   27.000000,    1.500000,   17.200000,   10.500000,    0.199291,    0.053800,    0.003228,   -0.015280,    0.000000,    0.000000,   44.484375,   -2.862745,   -1.781510,   -0.210000,   -1.699318,   -1.157263,   -1.969319,   -0.217809,   -1.265345,   -1.855894,   -0.400275,   -1.123975,   -0.191096,   -1.748634,    0.723700,   -0.566713,   -1.876442,    0.582741,    3.582336,   -1.307674,   -2.804389,   -1.962744,    0.082192,   -4.199597,   -0.772604,    0.046438,   -1.940552,   -0.384247,   -0.463563,    0.585618,   -1.340962,   -0.401919,   -1.074660,   -3.381274,   -1.578162,    0.288083,    1.022468,    0.196439,    0.135206,    0.486576,   -0.115069,   -1.423564,   -1.654935,   -0.941920,   -0.823563,  -14.276946,  -99.862551,  -16.982910,  -15.929210,  -16.692824,  -17.687398,  -16.718663,  -17.632150,  -17.426336,  -20.128602,  -17.795994,  -15.720442,  -16.576882,  -15.998251,  -16.660102,  -18.674010,  -19.422367,  -15.811675,  -18.084488,  -17.561953
Mult,SI,251114 12:52:20.458726,   11.555651,101041.913847,   24.314534,   51.307725,   78.555270,    0.000000,  400.000000,   27.000000,    1.500000,   17.200000,   10.500000,    0.228514,    0.020174,    0.022284,    0.347156,    0.000000,    0.000000,   44.484375,   -2.249594,   -0.303288,   -2.776033,   -2.633430,   -0.579453,   -0.890139,   -2.472334,   -1.318359,   -1.938908,   -0.317672,   -1.470825,   -1.290003,   -1.732606,   -0.348905,   -0.909454,   -1.787675,   -0.121233,   -0.148356,   -1.377948,   -0.744248,   -1.107947,    0.401097,   -1.740414,   -1.362742,   -1.135071,   -2.241374,   -1.220139,   -1.255893,   -0.600412,    1.019591,   -1.123153,    0.220685,    1.693154,    1.270199,   -0.005959,    0.022603,   -1.568222,    0.570001,    0.005753,   -0.926714,    1.665209,    1.167948,   -1.381236,   -1.940963,  -15.209825,  -99.054585,  -16.214621,  -18.558530,  -15.738627,  -18.955928,  -16.466334,  -16.612533,  -17.150171,  -18.359626,  -17.339418,  -14.496193,  -15.971641,  -16.200854,  -16.080237,  -18.117570,  -16.709211,  -16.785239,  -15.700305,  -19.689902
Mult,SI,251114 12:52:20.468726,   11.552677,101041.913847,   24.184383,   51.038289,   78.555270,    0.000000,  400.000000,   27.000000,    1.500000,   17.200000,   10.500000,    0.242104,    0.112543,   -0.009564,   -0.148467,    0.000000,    0.000000,   44.484375,   -1.062742,   -2.014114,   -2.851239,    0.094932,   -2.379457,   -1.535346,   -1.119043,   -1.220550,   -3.290965,   -0.874933,   -0.593837,    0.388768,   -2.068360,   -1.946305,   -1.262879,   -0.906988,   -0.976029,    0.350138,   -2.596033,   -0.103151,   -3.456171,   -1.012605,   -0.899591,   -1.608496,   -1.824250,   -2.203155,   -0.882741,   -0.995344,    1.003564,   -1.450688,   -0.666166,   -0.343151,    0.947879,    1.571728,   -1.540277,   -1.252194,   -1.800004,    1.776579,   -2.973705,   -0.534659,   -0.920550,    2.948225,   -2.773362,   -3.084253,  -17.565446,  -99.035218,  -18.714695,  -16.338320,  -16.765975,  -19.733361,  -17.977433,  -19.410912,  -17.582912,  -21.706173,  -16.625992,  -16.958664,  -15.788353,  -17.199897,  -18.985620,  -18.541681,  -19.706341,  -16.947568,  -17.158801,  -18.260584
